Doserate,Latitude,Longitude
0.0441,13.84988117,100.566816
0,13.84988,100.5668168
0.0779,13.8498795,100.5668187
0,13.84987383,100.5668078
0.0382,13.84986467,100.5667977
0.0515,13.84985017,100.5667888
0.0515,13.84983867,100.5667838
0.061,13.849837,100.5667828
0,13.84983717,100.566785
0.0327,13.84983617,100.5667848
0.0366,13.84982867,100.566781
0.0442,13.8498115,100.5667755
0.0442,13.84979583,100.5667682
0.0613,13.8497835,100.5667585
0,13.84976767,100.5667495
0.0561,13.84975667,100.5667413
0.0594,13.84974933,100.5667292
0.0615,13.84973917,100.5667178
0.0615,13.84972517,100.5667157
0.0493,13.84970933,100.566711
0.0525,13.849697,100.5667122
0.0323,13.84968267,100.5667083
0.0662,13.84966567,100.5667112
0.0662,13.84964783,100.5667113
0.0526,13.84962683,100.5667055
0.0665,13.84960933,100.5667065
0.0448,13.84959833,100.566703
0.0548,13.84958117,100.5667028
0.0598,13.8495675,100.566701
0.0661,13.849553,100.5666998
0.0661,13.84953633,100.5667
0.0552,13.849521,100.5666972
0.0835,13.8495035,100.5666983
0.0543,13.849487,100.5666943
0.0571,13.84946633,100.5666957
0.0713,13.84944883,100.5666948
0.0713,13.84942733,100.5666917
0.0781,13.84940667,100.5666977
0.0626,13.849391,100.5666977
0.0527,13.84936933,100.5667033
0.0709,13.84935083,100.5667132
0.0499,13.84932667,100.5667155
0.0499,13.8493045,100.5667188
0.0462,13.84928,100.5667213
0.0651,13.84925983,100.5667188
0.0633,13.84923683,100.5667163
0.0697,13.849213,100.5667158
0.0682,13.84919467,100.5667152
0.0682,13.8491765,100.5667118
0.0596,13.84915733,100.566712
0.0559,13.849138,100.5667128
0.0502,13.84911717,100.5667103
0.0595,13.84909617,100.5667138
0.0595,13.84907683,100.5667157
0.0488,13.84906,100.5667168
0.0645,13.8490405,100.566722
0.0545,13.84902167,100.5667248
0.0514,13.8490035,100.5667275
0.0403,13.84898633,100.5667358
0.0658,13.84896917,100.5667385
0.0658,13.84895233,100.5667353
0.0664,13.84893167,100.5667383
0.043,13.84891183,100.5667442
0.0764,13.84889283,100.5667423
0.0987,13.84887067,100.5667405
0.0584,13.84884617,100.5667405
0.0584,13.848823,100.566746
0.0644,13.84880283,100.5667462
0.0493,13.84877767,100.566745
0.0372,13.84875317,100.5667482
0.0408,13.84873167,100.5667565
0.0415,13.84871033,100.5667577
0.0415,13.848689,100.566757
0.0723,13.84866833,100.5667595
0.0518,13.84865033,100.5667655
0.0359,13.84863117,100.5667677
0.0713,13.848609,100.5667685
0.0713,13.8485865,100.5667728
0.0563,13.84856667,100.5667735
0.061,13.84854317,100.5667748
0.0483,13.848519,100.5667787
0.056,13.8484965,100.566779
0.0395,13.84847717,100.5667797
0.0501,13.84846017,100.5667748
0.0501,13.84844617,100.5667723
0.0374,13.84844017,100.5667745
0.0549,13.8484345,100.5667752
0.0504,13.84842283,100.5667757
0.0554,13.84841067,100.5667728
0.0522,13.84839583,100.566769
0.0522,13.84838033,100.5667647
0.0607,13.84837017,100.5667672
0.0534,13.848348,100.5667647
0.0646,13.84832833,100.566759
0.0711,13.84831017,100.566762
0.0917,13.84829417,100.5667715
0.0917,13.84827783,100.5667792
0.0515,13.8482575,100.5667813
0.036,13.8482335,100.5667828
0.0436,13.84821017,100.5667888
0.04,13.84818967,100.5667937
0,13.84816967,100.5667907
0,13.84814917,100.5667927
0,13.848128,100.5667985
0.0454,13.848107,100.5667998
0.0544,13.84808533,100.5668
0.0703,13.84805883,100.5667983
0.0703,13.84803233,100.5668002
0.0649,13.8480085,100.5668038
0.0482,13.84798967,100.5668033
0.0737,13.847969,100.5668053
0.0468,13.84795317,100.5668158
0,13.84794283,100.56683
0.053,13.84792133,100.566838
0.053,13.84790333,100.566833
0.0576,13.84788267,100.5668305
0.059,13.84786433,100.5668352
0.0345,13.84784617,100.5668418
0.0749,13.84782467,100.566852
0.0378,13.84781267,100.5668675
0.0378,13.84779933,100.56688
0.0693,13.84779,100.5668913
0.0794,13.847784,100.5669127
0.0924,13.8477695,100.5669253
0.0817,13.84775733,100.566937
0.0802,13.8477445,100.5669542
0.0802,13.84773117,100.5669712
0.0549,13.84771517,100.5669847
0.0923,13.8477,100.5669995
0.1022,13.84769683,100.5670192
0.0773,13.84768467,100.5670413
0.0773,13.84767083,100.5670648
0.0456,13.84766267,100.5670898
0.0758,13.84765517,100.5671123
0.0704,13.84764167,100.5671303
0.0586,13.84762467,100.5671472
